f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;-0,59;0,25;0,26;0,25;0;0,2
125;-0,59;0,25;0,25;0,25;0;0,2
250;-0,58;0,25;0,23;0,25;0;0,2
500;-0,56;0,25;0,18;0,25;0,03;0,2
1000;-0,48;0,25;0,1;0,25;0,18;0,2
2000;-0,16;0,25;-0,25;0,25;0,69;0,2
4000;0,96;0,25;-1,17;0,25;-0,33;0,2
8000;3,29;0,35;-2,83;0,35;-0,71;0,3
16000;1,25;0,45;-0,25;0,35;-2,59;0,3
