f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;0;0.05;;;;
125;0;0.05;;;;
250;0;0.05;;;;
500;-0.01;0.07;;;;
1000;0.01;0.07;;;;
2000;0.04;0.09;;;;
4000;0.04;0.14;;;;
8000;-0.03;0.18;;;;
16000;0.87;0.38;;;;
