f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;-0.25;0.25;0.08;0.25;-0.02;0.2
125;-0.25;0.25;0.21;0.25;-0.02;0.2
250;-0.25;0.25;0.17;0.25;-0.02;0.2
500;-0.25;0.25;0.14;0.25;0;0.2
1000;-0.25;0.25;0.16;0.25;0.08;0.2
2000;-0.28;0.25;-0.05;0.25;0.02;0.2
4000;-0.35;0.25;-0.66;0.25;0.59;0.2
8000;-0.71;0.35;-1.65;0.35;1.3;0.3
16000;-4.61;0.45;-2.13;0.35;-0.52;0.3
