f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;-0.45;0.25;0.12;0.25;-0.05;0.2
125;-0.45;0.25;0.18;0.25;-0.05;0.2
250;-0.44;0.25;0.23;0.25;-0.05;0.2
500;-0.42;0.25;0.32;0.25;0.03;0.2
1000;-0.34;0.25;0.09;0.25;0.23;0.2
2000;0.02;0.25;-0.02;0.25;0.5;0.2
4000;1.27;0.25;-0.99;0.25;0.53;0.2
8000;4.4;0.35;-2.55;0.35;0.25;0.3
16000;3.92;0.45;-1.03;0.35;-1.75;0.3
