f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;-0.52;0.25;0.06;0.25;0.01;0.2
125;-0.52;0.25;0.06;0.25;0.01;0.2
250;-0.52;0.25;0.1;0.25;0;0.2
500;-0.51;0.25;0.16;0.25;-0.01;0.2
1000;-0.47;0.25;0.24;0.25;0.01;0.2
2000;-0.38;0.25;-0.3;0.25;0.26;0.2
4000;0.07;0.25;-1.03;0.25;0.44;0.2
8000;1.1;0.35;-2.64;0.35;1.67;0.3
16000;-4.13;0.45;-0.48;0.35;-4.84;0.3
