f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;-0,25;0,25;0,16;0,25;0,02;0,2
125;-0,25;0,25;0,17;0,25;0,02;0,2
250;-0,24;0,25;0,18;0,25;0,03;0,2
500;-0,22;0,25;0,21;0,25;0,06;0,2
1000;-0,14;0,25;0,15;0,25;0,18;0,2
2000;0,22;0,25;-0,17;0,25;0,49;0,2
4000;1,47;0,25;-0,97;0,25;1,07;0,2
8000;4,6;0,35;-2,46;0,35;2,36;0,3
16000;4,12;0,45;-0,66;0,35;-8,3;0,3
