f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;0;0,05;0;0,1;;
125;0;0,05;0;0,1;;
250;0;0,05;0,07;0,1;;
500;-0,01;0,07;0,22;0,1;;
1000;0,01;0,07;-0,07;0,1;;
2000;0,04;0,09;-0,09;0,1;;
4000;0,04;0,14;-0,09;0,15;;
8000;-0,03;0,18;-0,08;0,2;;
16000;0,87;0,38;0,11;0,2;;
