f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;;;-0,1;0,17;0,04;0,15
125;;;-0,3;0,17;0,03;0,15
250;;;0,2;0,17;0,02;0,15
500;;;0;0,17;0,04;0,15
1000;;;0;0,17;0,14;0,15
2000;;;0,2;0,17;0,37;0,15
4000;;;0,2;0,17;-0,24;0,15
8000;;;-0,1;0,29;-0,66;0,21
16000;;;-0,7;0,29;-1,37;0,21
