f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;-0.21;0.25;0.12;0.25;-0.07;0.2
125;-0.21;0.25;0.12;0.25;-0.07;0.2
250;-0.2;0.25;0.13;0.25;-0.05;0.2
500;-0.19;0.25;0.17;0.25;0.02;0.2
1000;-0.14;0.25;0.12;0.25;0.1;0.2
2000;0.07;0.25;-0.1;0.25;0.33;0.2
4000;0.75;0.25;-0.6;0.25;0.86;0.2
8000;2.29;0.35;-1.72;0.35;2.06;0.3
16000;2.82;0.45;-1.95;0.35;-3.74;0.3
