f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;-0.45;0.25;0.24;0.25;-0.1;0.2
125;-0.45;0.25;0.26;0.25;-0.1;0.2
250;-0.44;0.25;0.31;0.25;-0.1;0.2
500;-0.42;0.25;0.4;0.25;-0.04;0.2
1000;-0.34;0.25;0.15;0.25;0.12;0.2
2000;0.02;0.25;0.01;0.25;0.41;0.2
4000;1.27;0.25;-1.04;0.25;0.29;0.2
8000;4.4;0.35;-2.34;0.35;-0.08;0.3
16000;3.92;0.45;-0.68;0.35;-1.55;0.3
