f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;-0,19;0,25;0,27;0,25;0,08;0,2
125;-0,19;0,25;0,27;0,25;0,08;0,2
250;-0,18;0,25;0,3;0,25;0,07;0,2
500;-0,16;0,25;0,24;0,25;0,11;0,2
1000;-0,08;0,25;-0,13;0,25;0,32;0,2
2000;0,24;0,25;-0,19;0,25;0,65;0,2
4000;1,36;0,25;-1,23;0,25;-0,11;0,2
8000;3,69;0,35;-2,67;0,35;-0,47;0,3
16000;1,65;0,45;-0,17;0,35;-1,56;0,3
