f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;-0.32;0.25;0.17;0.25;0;0.2
125;-0.32;0.25;0.17;0.25;0;0.2
250;-0.32;0.25;0.13;0.25;0;0.2
500;-0.31;0.25;0.07;0.25;0.01;0.2
1000;-0.27;0.25;0.12;0.25;0.02;0.2
2000;-0.18;0.25;-0.3;0.25;0.08;0.2
4000;0.27;0.25;-0.86;0.25;0.56;0.2
8000;1.3;0.35;-2.61;0.35;1.62;0.3
16000;-3.93;0.45;-0.58;0.35;-5.17;0.3
