f [Hz];Mic [dB];Mic U [dB];Case [dB];Case U [dB];Screen [dB];Screen U [dB]
63;-0,31;0,25;-0,03;0,25;0,02;0,2
125;-0,31;0,25;0,14;0,25;0,03;0,2
250;-0,3;0,25;0,16;0,25;0,07;0,2
500;-0,29;0,25;0,19;0,25;0,17;0,2
1000;-0,24;0,25;0,03;0,25;0,29;0,2
2000;-0,03;0,25;-0,04;0,25;0,64;0,2
4000;0,65;0,25;-0,67;0,25;0,57;0,2
8000;2,19;0,35;-1,47;0,35;0,29;0,3
16000;2,72;0,45;-1,87;0,35;-1,24;0,3
